Name;Rating;Followers;Online;Peak;id
Tabletop Simulator;94.37%;172,061;2,44;37,198;286160
UNO;71.84%;121,191;211;5,639;470220
For The King;86.89%;120,872;735;9,625;527230
Pummel Party;88.17%;106,414;505;17,021;880940
Armello;80.41%;90,901;93;3,614;290340
Hand of Fate;87.68%;75,545;10;2,178;266510
Gloomhaven;84.70%;60,962;269;2,179;780290
Ultimate General: Civil War;86.32%;59,826;391;1,678;502520
TaleSpire;89.71%;53,556;102;1,416;720620
Gremlins, Inc.;83.57%;41,52;157;1,716;369990
Curious Expedition;87.62%;39,661;42;1,038;358130
Blood Bowl 2;75.96%;35,83;347;6,511;236690
Richman10;51.34%;30,881;945;10,791;1162520
Card Hunter;83.39%;30,537;64;5,8;293260
Cultist Simulator;76.79%;30,331;125;3,143;718670
WARTILE;74.91%;26,181;0;332;404200
Scythe: Digital Edition;85.87%;25,91;61;1,237;718560
雀魂麻將(MahjongSoul);68.67%;25,423;7,955;13,679;1329410
Business Tour - Board Game with Online Multiplayer;60.24%;24,366;799;7,707;397900
MONOPOLY® PLUS;43.39%;18,16;93;3,18;562810
RISK: Global Domination;82.34%;17,918;958;11,716;1128810
WARMACHINE: Tactics;44.82%;17,627;1;939;253510
Warhammer Underworlds: Online;61.80%;16,991;10;793;1022310
Radio Commander;73.84%;16,184;9;660;871530
Talisman: Digital Edition;75.51%;15,402;135;3,59;247000
Terraforming Mars;74.16%;15,336;338;1,667;800270
Curious Expedition 2;83.66%;15,137;100;3,043;1040230
Root;89.08%;15,039;51;496;965580
Wingspan;90.94%;15,005;194;855;1054490
The Witcher Adventure Game;75.56%;12,305;3;294;303800
Rento Fortune: Online Dice Board Game (大富翁);49.79%;12,07;35;3,485;663390
YUME;54.79%;11,681;2;1,691;1471200
A Game of Thrones: The Board Game - Digital Edition;71.51%;11,647;52;1,08;1075190
Popup Dungeon;75.34%;10,869;7;661;349730
Field of Glory II;83.82%;10,753;46;309;660160
Through the Ages;85.79%;10,692;137;747;758370
Epic Tavern;65.17%;10,273;2;56;517720
Twilight Struggle;83.26%;9,593;93;672;406290
Axis & Allies 1942 Online;73.74%;9,166;256;1,227;898920
Catan Universe;54.02%;8,919;416;7,376;544730
Tabletopia;62.28%;8,316;29;1,207;402560
Fantasy Grounds Unity;81.45%;8,132;95;420;1196310
The Warlock of Firetop Mountain;72.53%;6,906;1;264;324740
Ticket to Ride;86.48%;6,9;274;2,164;108200
Blood Bowl: Chaos Edition;77.58%;6,301;17;1,945;216890
Carcassonne - Tiles & Tactics;78.58%;6,182;100;1,05;598810
Clue/Cluedo: The Classic Mystery Game;82.34%;5,723;47;355;794800
Struggle Offensive;63.79%;5,619;0;22;1403280
Throne of Lies®: Medieval Politics;75.75%;5,539;29;1,381;595280
D&D Lords of Waterdeep;88.04%;5,515;46;394;644390
Chess Ultra;73.19%;5,509;21;179;518060
Pandemic: The Board Game;57.10%;5,344;20;169;622440
Fated Kingdom;74.57%;5,324;0;44;837400
Simply Chess;73.67%;5,262;28;596;312280
Blood Rage: Digital Edition;49.00%;5,115;7;502;1015930
DungeonTop;80.24%;4,743;6;270;1146230
Big Bia;84.88%;4,692;16;1,84;585020
Field of Glory II: Medieval;79.50%;4,537;6;318;1368870
Rezrog;46.36%;4,489;3;220;548370
No Time to Relax;88.51%;4,465;139;1,649;829660
Chessaria: The Tactical Adventure (Chess);69.79%;4,446;2;19;575340
Werewolf: The Apocalypse — Heart of the Forest;79.76%;4,271;6;304;1342620
Sentinels of the Multiverse;84.79%;4,251;13;330;337150
Small World;69.53%;3,768;11;462;235620
One Deck Dungeon;75.07%;3,727;7;266;770100
Super Dungeon Tactics;71.73%;3,712;0;135;463160
Longsword - Tabletop Tactics;56.17%;3,7;0;28;428610
Wintermoor Tactics Club;85.93%;3,637;1;66;917840
THE GAME OF LIFE 2;71.03%;3,585;54;433;1455630
THE GAME OF LIFE;71.23%;3,547;6;340;403120
The Dark Eye : Book of Heroes;42.97%;3,466;1;450;1139870
Juicy Memory Card;41.03%;3,256;0;2;1352050
Achtung! Cthulhu Tactics;67.30%;3,21;1;79;874460
Untrusted;80.58%;3,182;8;335;1502660
Chroma: Bloom And Blight;75.01%;3,158;0;346;1140740
Tabletop Playground;57.86%;3,105;1;39;838410
Ascension: Deckbuilding Game;83.78%;3,099;48;197;320430
Game Master Engine;66.85%;2,862;0;27;1451680
Space Food Truck;67.73%;2,793;0;157;397390
The Far Kingdoms: Forgotten Relics;74.19%;2,737;0;3;1608200
Shopping Mahjong connect;47.22%;2,633;0;4;1663890
Spirit Island;83.59%;2,629;12;174;1236720
Ogre;67.48%;2,559;0;78;517780
Kyvir: Rebirth;79.37%;2,494;3;276;1520270
Lock 'n Load Tactical Digital: Core Game;82.79%;2,447;5;101;1149940
Here Be Dragons;69.57%;2,355;0;19;945680
Valor & Victory;71.94%;2,323;1;60;963870
The Conquest of Go;82.24%;2,218;2;91;1264970
Descent: Road to Legend;82.46%;2,212;5;112;477200
Mysterium: A Psychic Clue Game;75.95%;2,204;0;470;556180
Revolution : Virtual Playspace;51.93%;2,182;0;9;387090
Eight-Minute Empire;70.63%;2,167;0;13;656590
Fury of Dracula: Digital Edition;69.01%;2,159;4;107;958530
RISK™: Factions;68.31%;2,146;11;175;47800
The Solitaire Conspiracy;86.14%;2,081;2;189;1424980
Elder Sign: Omens;72.48%;2,065;0;85;257670
Splendor;76.07%;2,011;50;329;376680
