,Name,Rating,Followers,Online,Peak,id
0,Pinball FX3,84.56%,"9,642",150,835,442120
1,Pinball Arcade,70.88%,"7,480",42,417,238260
2,SENRAN KAGURA Peach Ball,82.45%,"7,315",4,133,1074080
3,Yoku's Island Express,92.25%,"6,819",27,283,334940
4,Kabounce,87.81%,"6,385",2,"2,597",431930
5,Zaccaria Pinball,77.64%,"4,374",14,64,444930
6,Creature in the Well,72.03%,"3,955",0,88,852300
7,DEMON'S TILT,88.62%,"3,064",1,32,422510
8,Rollers of the Realm,84.04%,"2,036",0,167,262470
10,Pinball Wicked,77.44%,"1,257",0,10,595960
11,Pinball FX2 VR,79.71%,"1,138",1,19,547590
12,Pro Pinball Ultra,76.22%,961,2,34,287900
14,Pinup Ball - Sexy Strip Pinball,62.50%,812,0,27,904900
15,On A Roll 3D,80.63%,769,0,921,341090
16,Witcheye,81.90%,667,0,13,1284950
17,Collisions,72.83%,638,0,306,390910
18,Stern Pinball Arcade,35.89%,623,0,35,564010
19,Caromble!,76.13%,523,0,5,347660
20,Star Wars™ Pinball VR,42.94%,473,1,52,1530770
21,Worms Pinball,47.02%,468,1,36,70660
22,Snowball!,81.02%,430,0,172,546550
23,Malzbie's Pinball Collection,70.52%,347,0,15,729580
24,Drawkanoid,77.30%,313,0,10,951370
25,Pinball HD Collection,54.59%,309,0,8,448670
26,Deep Under the Sky,62.53%,298,0,14,315650
27,Dream Pinball 3D,41.24%,287,0,"11,060",215790
28,Pinball Deluxe: Reloaded,82.54%,283,1,14,678310
29,Momonga Pinball Adventures,48.24%,277,0,37,491560
30,Golf Pool VR,65.93%,268,0,6,1008700
31,Pincremental,74.38%,267,114,419,1369470
32,Pinball Evolution VR,72.79%,247,0,4,486370
33,Super High Ball: Pinball Platformer,78.30%,229,0,5,719930
34,Hyperspace Pinball,59.18%,206,1,22,349020
35,Ritual: Sorcerer Angel,75.44%,200,0,9,1063960
37,Little Fire Girl,51.89%,163,0,4,1340500
38,Darkanoid,79.81%,161,0,490,1272120
39,BRAVE PINBALL,52.11%,146,0,4,1305570
40,GUNBARICH,56.32%,145,0,5,1342240
41,PINPIN BALLBALL,64.07%,136,0,3,891180
42,Oik 5,79.92%,134,0,9,992050
44,Zombie Pinball,43.29%,126,0,49,458510
45,Pinball Parlor,48.29%,123,0,6,514570
46,Retro Pinball,62.93%,114,0,3,581590
47,Mini Tone - Minimalist Puzzle,76.92%,103,0,6,1099960
48,Hot Pinball Thrills,41.21%,103,0,3,373810
49,SlamIt Pinball Big Score,35.33%,102,0,12,12430
50,Fantastic Pinball Thrills,37.12%,96,0,3,373800
51,Marble Odyssey,55.69%,94,0,2,995310
52,Super Steampunk Pinball 2D,59.20%,94,0,9,775490
53,Pinball,46.68%,92,0,2,745120
54,Babylon 2055 Pinball,60.28%,86,0,21,458500
55,Space Block Buster,83.27%,81,0,10,1198290
56,Quantic Pinball,54.48%,77,0,43,577320
57,Skully Pinball,47.41%,72,0,4,1059190
58,Twin Breaker: A Sacred Symbols Adventure,59.97%,70,0,4,1373080
59,Zeke's Peak,79.39%,69,1,4,1093800
60,Soccer Pinball Thrills,34.62%,60,0,4,373820
61,BATTLE ARENA: Robot Apocalypse,78.30%,58,0,5,1453010
62,Things That Bounce and Explode,79.05%,55,0,2,1165960
64,捕鱼炸翻天,37.79%,49,5,16,1417940
65,football girl,62.05%,46,0,3,1476920
66,Top Billiards,35.22%,44,0,5,1366160
67,Roll Control,70.84%,36,0,2,1290920
68,Flipper Volcano,63.89%,35,0,3,1413350
69,Hard Rock Pinball,68.15%,34,0,2,1273930
70,Total Dark,45.67%,33,0,5,1379920
71,Flip-Out!,-,32,0,2,962310
72,Spirit Bounce,59.42%,29,0,4,1576900
73,Gravity Balls,55.66%,29,0,3,1197960
74,Girls Pinball,42.61%,26,0,3,1513760
75,Pinball universe,45.83%,26,0,2,1206870
76,Rebound Raver,72.17%,24,0,2,1579530
77,Grove flowers,58.33%,22,0,2,1031290
78,Pinball,40.58%,20,0,1,1478980
79,Whizz Ball,64.08%,18,1,4,1372630
80,Puzzling Peaks EXE,75.00%,16,0,3,1475420
81,Formosa Night Market VR Arcade(by Taiwan),69.20%,16,0,2,1456490
82,Over'n Over,59.60%,16,0,2,1358730
83,Orb and the Stars,59.42%,16,0,2,1342540
84,Crazy Jump,69.59%,16,0,4,1315360
86,jetPIN,44.31%,13,0,1,1461190
87,Rolling Arcade,64.78%,13,0,1,1334330
88,RagDoll MadDoll,40.58%,12,0,1,1434470
89,KYOKI,-,12,0,1,1371900
90,Block Breaker Ninja,-,12,0,1,1349370
91,BallClimbing,54.17%,11,0,4,1264990
92,Crazy Fun Ball,-,9,0,1,1380280
93,Krakout challenge,64.08%,9,0,2,1064100
95,Ordinem,-,8,0,1,997900
96,Power Ball 2021,40.58%,5,0,2,1512910
98,Girls Pinball-DLC2,-,-,-,-,1515911
99,Girls Pinball-DLC1,-,-,-,-,1515910
